GL-000024	NSCLC SOC Genes
GL-000831	Inborn errors of metabolism, microcephaly, hereditary spastic paraplegia and brain malformations_CE_4620
GL-000832	Epileptic encephalopathy_5901
GL-000833	Argininosuccinic aciduria_RD
GL-000834	Gaucher disease and Niemann-Pick disease_RD
GL-000838	Duchenne muscular dystrophy_CE
GL-000839	Primary hyperoxaluria, hypomagnesemia and retinitis pigmentosa_CE
GL-000840	Glycogen storage diseases and FBP1 deficiency_CE
GL-000842	Nephrological disorders_CE
GL-000843	Multiple epiphyseal dysplasia_CE
GL-000844	Hereditary cancer predisposition test_86 genes
GL-000845	Hyperelasticity_CE
GL-000846	Alport syndrome_CE
GL-000849	Arthrogryposis, hydrocephalus and congenital heart defects_CE
GL-000850	Osteogenesis imperfecta and decreased bone density_CE
GL-000852	Muscle-eye-brain disease_CE
GL-000853	Krabbe disease_CE_4620
GL-000856	Stickler syndrome and primordial dwarfism_CE
GL-000859	Spinocerebellar ataxia_CE_4620
GL-000860	Primary hyperoxaluria_CE
GL-000861	Hereditary spastic paraplegia, epilepsy and mitochondrial disorders_CE
GL-000863	STRAN-6012_CE
GL-000865	Long QT syndrome_CE
GL-000866	Thrombotic thrombocytopenic purpura_RD
GL-000867	Hereditary breast, ovarian, endocrine and nervous system cancer predisposition test.
GL-000868	Neurocognitive disorders and hypothyroidism_CE_4620
GL-000869	Pigmentation disorders_CE
GL-000871	Hereditary breast, ovarian, gynecological and colorectal cancer predisposition test_19 genes
GL-000872	Hereditary cancer and skin cancer predisposition test
GL-000873	Dermatologic disorders_CE
GL-000874	Cerebral palsy, neurocognitive disorders and hypothyroidism_CE
GL-000875	Mucopolysaccharidosis_CE
GL-000876	Seckel syndrome_CE
GL-000877	Hereditary breast, ovarian, gynecological, colorectal and nervous system cancer predisposition test
GL-000878	ASD and ID_CE
GL-000879	Crouzon syndrome_CE
GL-000881	Saethre-Chotzen syndrome_CE
GL-000882	Mitochondrial disorders, epileptic encephalopathy, autism and intellectual disability_CE
GL-000883	Tetralogy of fallots and kidney disorders_CE
GL-000884	Severe combined immunodeficiency_CE
GL-000885	Hereditary fructose intolerance and glycogen storage diseases_CE_4620
GL-000886	Lissencephaly_CE_4620
GL-000888	Glutaric acidemia_CE
GL-000889	X-linked severe combined immunodeficiency_CE
GL-000892	Cardiac disorders_CE
GL-000893	Yunis-Varon syndrome_CE
GL-000896	Mitochondrial disorders and epilepsy_CE_4620
GL-000897	Holoprosencephaly, hypothyroidism and microcephaly_CE
GL-000898	Dyskeratosis congenita_CE
GL-000899	Focal segmental glomerulosclerosis_CE
GL-000904	Xeroderma pigmentosa predisposition test
GL-000905	Lymphedema_CE
GL-000906	Hereditary breast and colorectal cancer predisposition test_19genes
GL-000907	Combined immunodeficiencies_CE
GL-000909	Hereditary motor and sensory neuropathy_CE
GL-000912	Hereditary motor and sensory neuropathy_CE_4620
GL-000913	Microcephaly, organic acidemias and nephrological disorders_CE_4620
GL-000914	Nephrological disorders and tetralogy of fallot_CE
GL-000915	LIFR-related skeletal dysplasia_CE
GL-000921	Stuve-Wiedemann syndrome_CE
GL-000922	Familial hemophagocytic lymphohistiocytosis syndromes_CE
GL-000923	Severe combined immunodeficiency_CE_S2017-38
GL-000924	Craniosynostosis_CE-susp
GL-000925	Mitochondrial disorders, epileptic encephalopathy, microcephaly, autism and intellectual disability_CE
GL-000926	Nephrotic syndrome_CE
GL-000927	Leber congenital amaurosis_CE
GL-000930	Craniosynostosis_CE
GL-000931	Hereditary gynecological cancer predisposition test_11 genes
GL-000932	Hereditary breast, ovarian, colorectal and renal cancer predisposition test_19genes
GL-000933	Birt-Hogg-Dube Syndrome and Tuberous Sclerosis predisposition test
GL-000934	Familial hemophagocytic lymphohistiocytosis syndromes_RD
GL-000935	NPHS1-related nephrotic syndrome_RD
GL-000936	Tyrosinemia and progressive familial intrahepatic cholestasis_RD
GL-000938	Inborn errors of metabolism and neurodevelopmental disorders_CE_4620
GL-000939	Skeletal disorders and neurodevelopmental disorders_CE
GL-000940	Saethre-Chotzen syndrome_CE_S2017-152
GL-000941	Congenital myopathy_CE
GL-000942	Hemochromatosis and cholestasis_CE
GL-000943	Axonal neuropathy_CE
GL-000944	Robinow syndrome_CE
GL-000948	Limb girdle muscular dystrophy_CE
GL-000951	Harmatoneoplastic syndromes_CE
GL-000952	Ectodermal dysplasia_CE
GL-000953	Neurocognitive disorders_CE_4620
GL-000954	Hyperoxaluria and renal tubular acidosis_CE
GL-000955	Intellectual disability_CE_4620_S5225
GL-000956	Hereditary breast and prostate cancer predisposition test_19 genes
GL-000957	Hemophagocytic lymphohistiocytosis_CE
GL-000959	Short-rib thoracic dysplasia and related disorders_CE
GL-000960	Chediak-Higashi syndrome_CE
GL-000962	Gaucher disease and Sandhoff disease_CE
GL-000963	Lysosomal storage disorders_CE
GL-000964	GALC deficiency_RD
GL-000965	Pancreatitis_CE
GL-000966	Hereditary neurofibromatosis test
GL-000967	Hereditary breast, ovarian, colorectal and endocrine cancer predisposition test
GL-000968	Gaucher disease and Niemann-Pick disease_CE
GL-000970	Hypertriglyceridemia_CE
GL-000971	Neurodegeneration with brain iron accumulation_CE
GL-000972	Natural killer cell deficiency_CE
GL-000973	Ciliopathies_CE
GL-000975	Storage Disorders_CE
GL-000977	Leukodystrophies and muscular dystrophies_CE
GL-000979	Glycogen storage disorders_RD
GL-000980	Tyrosinemia type I_RD
GL-000985	Hereditary colorectal, prostate and renal cancer predisposition test
GL-000986	Brugada syndrome_CE
GL-000988	Disorders of lipid and lipoprotein metabolism_CE
GL-000989	Familial lipoprotein lipase deficiency_CE
GL-000990	Spinocerebellar ataxia_CE
GL-000993	Kniest dysplasia_CE
GL-000995	Brachydactyly_CE
GL-000997	Birt-Hogg-Dube syndrome and tuberous sclerosis test
GL-000998	Progeria and cutis laxa_CE
GL-001000	Fanconi anemia and dyskeratosis congenita_CE
GL-001001	Congenital disorders of glycosylation and ataxia_CE
GL-001002	Lymphedema and rickets_CE
GL-001003	Neuromuscular disorders and leukodystrophies_CE
GL-001004	Neurometabolic disorders, mitochondrial disorders and epilepsy_CE
GL-001006	Gaucher disease, Sandhoff disease and thrombocytopenia_CE
GL-001007	Hereditary breast, ovarian, gynecological and renal cancer predisposition test_19 genes
GL-001008	Hemochromatosis, cholestasis and inborn errors of metabolism_CE
GL-001009	Hereditary breast, colorectal and renal cancer predisposition test_19genes (for males)
GL-001011	Neurodevelopmental disorders and muscular dystrophies_CE
GL-001013	Inborn errors of metabolism, mitochondrial disorders and dystonia_CE
GL-001014	Primary hyperphosphatemic tumoral calcinosis_CE
GL-001018	Marinesco-Sjogren syndrome_CE
GL-001019	Inborn errors of metabolism, sudden cardiac death and FADD deficiency_CE
GL-001020	Organic acidemias_CE
GL-001021	Congenital heart defects_CE
GL-001022	Neuropathies_CE_4620
GL-001025	Neonatal diabetes mellitus_CE
GL-001026	Hereditary breast, prostate and nervous system cancer predisposition test
GL-001027	Craniosynostosis and epilepsy_CE
GL-001028	IL2RG and JAK3-related severe combined immunodeficiency_CE
GL-001030	Hereditary rare cancer predisposition test_FA
GL-001031	Hereditary breast, ovarian and endocrine cancer predisposition test_19genes
GL-001033	Mitochondrial disorders, congenital disorders of glycosylation and organic acidemias_CE
GL-001034	Hereditary breast, ovarian, gynecological, colorectal and endocrine cancer predisposition test_19 HBOC genes_old
GL-001035	Hereditary breast, ovarian, gynecological, colorectal and endocrine cancer predisposition test_19 HBOC genes
GL-001036	Hereditary breast and endocrine cancer predisposition test_19genes
GL-001037	Microcephaly and epilepsy_CE
GL-001038	Microcephaly, epilepsy and oculocutaneous albinism_CE
GL-001039	Invalid genes_CE
GL-001040	Hypertrophic cardiomyopathy_CE
GL-001042	Amyotrophic lateral sclerosis_CE_S2017-609
GL-001043	Inherited bone marrow failure syndromes_CE
GL-001045	Chronic granulomatous disease_CE
GL-001046	Myotonia congenita_CE
GL-001047	Inborn errors of metabolism, mitochondrial disorders and epilepsy_CE
GL-001048	Skeletal dysplasia_CE
GL-001049	Pelizaeus-Merzbacher disease, hereditary spastic paraplegia and spinocerebellar ataxia_CE
GL-001050	Omenn syndrome, chronic granulomatous disease and severe combined immunodeficiency_CE
GL-001051	Neurometabolic and mitochondrial disorders_CE
GL-001052	Skeletal disorders_CE_S2017-152
GL-001053	Retinal dystrophies_CE
GL-001054	Disorders of lipid and lipoprotein metabolism and pancreatitis_CE
GL-001056	Aarskog-Scott syndrome and Kabuki syndrome_CE
GL-001057	Leukodystrophies_CE_S5966
GL-001060	Severe congenital neutropenias_CE
GL-001061	Neonatal diabetes mellitus and MODY_CE
GL-001062	Microcornea_CE
GL-001064	Maple syrup urine disease_CE
GL-001066	Neurometabolic disorders and epilepsy_CE
GL-001068	Neuropathies_CE
GL-001069	Emery-Dreifuss muscular dystrophy_CE_4620
GL-001070	Disorders of amino acid and peptide metabolism and mitochondrial disorders_CE
GL-001071	Salla disease_CE
GL-001072	Hypomyelinating disorders_CE
GL-001074	CHRNE-related congenital myasthenic syndrome_CE
GL-001075	NPHS1 and NPHS2-related nephrotic syndrome_RD
GL-001076	Thrombocytopenia_CE
GL-001077	Best disease_CE
GL-001078	3-Methylcrotonyl-CoA carboxylase deficiency_CE
GL-001079	Rubinstein-Taybi syndrome and autism spectrum disorders_CE
GL-001080	5-alpha reductase deficiency_CE
GL-001081	Cleft lip_CE
GL-001082	Disorders of sex development and infertility_CE
GL-001083	Inborn errors of metabolism_CE_S2017-701
GL-001084	Retinitis pigmentosa and cone-rod dystrophy_CE
GL-001085	Autoinflammatory disorders_CE
GL-001086	Immunodeficiencies and surfactant metabolism dysfunction_CE
GL-001087	Skeletal disorders and cardiac disorders_CE
GL-001089	Eye disorders_CE
GL-001091	Cataract_CE
GL-001092	Diamond-Blackfan anemia and Seckel syndrome_CE
GL-001093	Hereditary breast, ovarian, gynecological and endocrine cancer predisposition test_19 HBOC genes
GL-001094	Hereditary endocrine and nervous system cancer predisposition test
GL-001095	Hereditary breast, ovarian, gynecological and endocrine cancer predisposition test_19genes
GL-001096	Brugada syndrome and ARVC_CE
GL-001097	Hereditary retinoblastoma test
GL-001098	Arthrogryposis_RD
GL-001099	Neuromuscular disorders_CE_1053
GL-001101	Eye disorders_CE_S2017-711
GL-001102	MCAD deficiency_RD
GL-001103	Hereditary ataxia telangiectasia test
GL-001104	Hereditary colorectal and gynecological cancer predisposition test
GL-001105	Hemophagocytic lymphohistiocytosis_RD
GL-001106	Collagen related disorders_CE
GL-001107	Mucolipidosis and skeletal disorders_CE
GL-001108	Nonketotic hyperglycinemia_CE
GL-001109	Bronchiectasis and poikiloderma syndromes_CE
GL-001112	Ehlers-Danlos syndrome and epidermolysis bullosa_CE
GL-001113	Progressive familial intrahepatic cholestasis_CE
GL-001114	Cone dystrophy and retinitis pigmentosa_CE
GL-001115	Disorders of sterol metabolism_CE
GL-001116	Crigler-Najjar syndrome and Gilbert syndrome_CE
GL-001117	Smith-Lemli-Opitz syndrome_CE
GL-001118	Bartsocas-Papas syndrome_CE
GL-001119	Rett syndrome and leukodystrophies_CE
GL-001120	Lissencephaly and muscular dystrophies_CE
GL-001122	Hypomyelinating disorders and leukodystrophies_CE
GL-001123	Maturity-onset diabetes of the young_CE
GL-001124	Hereditary breast, prostate, colorectal and nervous system cancer predisposition test_19genes
GL-001126	Leigh syndrome_CE
GL-001127	Hereditary spastic paraplegia and leukodystrophies_CE
GL-001128	Hereditary breast cancer predisposition test_19 genes
GL-001131	Von Hippel-Lindau Syndrome Test
GL-001132	Hereditary breast, ovarian and neurological cancer predisposition test_19 HBOC genes
GL-001134	Cardiac disorders, deafness and epilepsy_CE
GL-001135	3-M syndrome and Warburg micro syndrome_CE
GL-001136	Skeletal disorders_CE-S2017-869
GL-001139	Inborn errors of metabolism and cystic fibrosis_CE
GL-001140	Congenital disorders of glycosylation and tuberous sclerosis_CE
GL-001142	Neurocognitive disorders and ataxia_CE
GL-001143	Medium-chain acyl-CoA dehydrogenase deficiency_CE
GL-001144	Disorders of carbohydrate metabolism_CE
GL-001145	Bronchiectasis and dermatologic disorders_CE
GL-001147	Becker muscular dystrophy_CE
GL-001148	Blistering diseases_CE
GL-001149	Collagen related disorders and thrombophilia_CE
GL-001151	Pompe disease_CE
GL-001152	Ventricular fibrillation_CE
GL-001153	Wolfram syndrome_CE
GL-001154	Cone dystrophy_CE
GL-001155	Hemophilia_RD
GL-001156	Dystonia and inborn errors of metabolism_CE
GL-001158	Muscular dystrophies_CE
GL-001160	Pituitary disorders_CE
GL-001167	Dilated cardiomyopathy_CE
GL-001168	Ullrich congenital muscular dystrophy_CE
GL-001169	Brain calcification, ataxia and dystonia_CE
GL-001171	Noonan syndrome_CE
GL-001172	Ataxia and dystonia_CE
GL-001173	Rhabdoid tumor predisposition syndrome test
GL-001174	Duchenne muscular dystrophy_RD
GL-001175	Disorders of amino acid and peptide metabolism and hypothyroidism_CE
GL-001176	Urea cycle disorders_CE
GL-001177	Methylmalonic acidemia_CE
GL-001183	Infantile neuroaxonal dystrophy, mitochondrial disorders and neuronal ceroid lipofuscinosis_CE
GL-001189	Hepatosplenomegaly_CE
GL-001190	Ataxia-Telangiectasia_RD
GL-001191	Disorders of amino acid and peptide metabolism, hypothyroidism and hepatosplenomegaly_CE
GL-001193	Kallmann syndrome_CE
GL-001194	Hereditary spastic paraplegia and urea cycle disorders_CE
GL-001197	Polycystic kidney disease, polycystic liver disease and pancreatitis_CE
GL-001198	Skeletal dysplasia_CE_S2017-1051
GL-001199	Dyskeratosis congenita and skeletal dysplasia_CE
GL-001201	Frontotemporal dementia_CE
GL-001202	Deafness_CE
GL-001203	Arrhythmias_CE
GL-001204	FGF23-related disorders_CE
GL-001205	Ocular albinism_CE
GL-001206	RASopathies_CE
GL-001207	Wiskott-Aldrich syndrome_CE
GL-001208	Ataxia, dystonia, celiac disease and ciliopathies_ CE
GL-001209	Hereditary breast, ovarian, renal and nervous system cancer predisposition test_19 HBOC genes
GL-001210	Bohring-Opitz syndrome_CE
GL-001211	Pseudohypoaldosteronism_CE
GL-001214	Neurological disorders_CE_S2017-1126
GL-001215	Tyrosinemia_RD
GL-001217	Joubert syndrome and related disorders_CE
GL-001218	Hereditary breast, ovarian and renal cancer predisposition test_19 HBOC genes
GL-001219	Hereditary breast, ovarian cancer and neurofibromatosis predisposition test_19 HBOC genes
GL-001220	Hereditary Renal Cancer Predisposition Test
GL-001221	Hereditary breast, ovarian, colorectal cancer and neurofibromatosis predisposition test_19 HBOC genes
GL-001223	Hereditary renal cancer predisposition test.
GL-001224	Coffin-Siris syndrome_CE
GL-001226	Hermansky-Pudlak syndrome and phenylketonuria_CE
GL-001227	Peroxisome biogenesis disorders_CE
GL-001228	Ataxia and leukodystrophies_CE
GL-001230	Dystonia_CE
GL-001232	Polycystic kidney disease_CE
GL-001233	Disorders of amino acid and peptide metabolism_CE
GL-001234	Achondrogenesis_CE
GL-001235	Disorders of amino acid and peptide metabolism and congenital disorders of glycosylation_CE
GL-001236	Congenital myasthenic syndrome, myopathies, muscular dystrophies and mitochondrial disorders_CE
GL-001237	Mitochondrial disorders and Tay-Sachs disease_CE
GL-001239	Hypercholesterolemia_CE
GL-001241	Primary microcephaly_CE
GL-001242	Hepatomegaly and hyperbilirubinemia_CE
GL-001245	Muscular dystrophies and myopathies_CE
GL-001246	Adrenal insufficiency_RD
GL-001247	Inborn errors of metabolism_CE
GL-001248	Mucolipidosis III gamma_CE
GL-001249	Disorders of bile acid biosynthesis and progressive familial intrahepatic cholestasis_CE
GL-001250	Tyrosinemia-RD
GL-001251	Epilepsy_STRAN-1284
GL-001252	Hypertension and obesity_CE
GL-001253	Ectodermal dysplasia, immunodeficiencies and primary ciliary dyskinesia_CE
GL-001254	Brain malformations_CE
GL-001260	Retinitis pigmentosa_CE
GL-001261	Connective tissue disorders and congenital heart defects_CE _STRAN-1306
GL-001262	Sandhoff disease_RD
GL-001263	Epilepsy_CE_STRAN-1386
GL-001264	Attention deficit hyperactivity disorder and skeletal disorders_CE
GL-001265	Noonan syndrome and Kabuki syndrome_CE
GL-001266	Deafness, microcephaly and optic atrophy_CE
GL-001268	Alstrom syndrome, diabetes insipidus and obesity_CE
GL-001270	Epileptic encephalopathy and mitochondrial disorders_CE
GL-001271	Congenital myasthenic syndrome and myopathies_CE
GL-001272	Mitochondrial disorders_CE
GL-001273	Hyperinsulinemic hypoglycemia_CE
GL-001274	Charcot-Marie-Tooth disease_CE
GL-001275	Nephrotic syndrome and focal segmental glomerulosclerosis_CE
GL-001276	Glutaric acidemia_RD
GL-001280	Neuromuscular disorders_CE
GL-001281	Angelman syndrome, congenital disorders of glycosylation and disorders of neurotransmitters metabolism_CE
GL-001282	Parkinson disease and related disorders_CE
GL-001283	Neurological disorders, eye disorders and obesity_CE
GL-001284	Microcephaly_CE
GL-001285	Neurocognitive disorders and deafness_CE
GL-001286	Complement deficiencies and systemic lupus erythematosus_CE
GL-001287	Metaphyseal dysplasia_CE
GL-001288	Glycogen storage diseases and Gaucher disease_CE
GL-001289	Wolman disease_CE
GL-001290	Ataxia, microcephaly and GLUT1 deficiency_CE
GL-001291	Van der Knaap disease_CE
GL-001292	Attention deficit hyperactivity disorder_CE
GL-001293	Epileptic encephalopathy_CE
GL-001295	ABCB11 and ATP8B1-related progressive familial intrahepatic cholestasis_CE
GL-001296	Schimke immuno-osseous dysplasia_CE
GL-001297	Enhanced S-cone syndrome_CE
GL-001298	Hemochromatosis and spherocytosis_CE
GL-001299	Congenital hepatic fibrosis and progressive familial intrahepatic cholestasis_CE
GL-001300	Leukodystrophies_CE
GL-001302	Hypomagnesemia_CE
GL-001303	Orofaciodigital syndrome_CE
GL-001304	Orofaciodigital syndrome_CE-S2017-1621
GL-001305	Menkes disease_CE
GL-001306	Denys-Drash syndrome_CE
GL-001307	Myoclonic epilepsy_CE
GL-001308	Microphthalmia_CE
GL-001309	Epileptic encephalopathy, neurotransmitter disorders and oculocutaneous albinism_CE
GL-001310	Mitochondrial disorders and neurometabolic disorders_CE
GL-001311	PKD1 and PKD2-related polycystic kidney disease_CE
GL-001312	Weill-Marchesani syndrome_CE
GL-001313	Autism spectrum disorders and epilepsy_CE
GL-001314	Mitochondrial disorders, organic acidemias and urea cycle disorders_CE
GL-001317	Diabetes insipidus_CE
GL-001319	Congenital heart defects and Robinow syndrome_CE
GL-001320	Angelman syndrome and Pitt-Hopkins syndrome_CE
GL-001321	Polycystic kidney and liver disease, nephronophthisis and pancreatitis_CE
GL-001322	Congenital heart defects, microphthalmia, renal agenesis and skeletal disorders
GL-001323	Congenital heart defects and skeletal disorders_CE
GL-001324	Congenital heart defects, intellectual disability and skeletal disorders_CE
GL-001326	Cataract and neurodevelopmental disorders_CE
GL-001327	Brachydactyly and congenital heart defects_CE
GL-001329	Pseudohypoparathyroidism_CE
GL-001330	Steroid resistant nephrotic syndrome_CE-S2017-1797
GL-001332	Glycogen storage diseases_CE
GL-001333	Multiple congenital anomalies-hypotonia-seizures syndrome 1_CE
GL-001334	Autism spectrum disorders_CE-STRAN-5831
GL-001335	Galactosemia and leukodystrophies_CE
GL-001337	Hereditary motor and sensory neuropathy and mitochondrial disorders_CE
GL-001338	Ellis-van Creveld syndrome and orofaciodigital syndrome_CE
GL-001339	Autism spectrum disorders, epilepsy, hyperinsulinemic hypoglycemia and intellectual disability_CE
GL-001340	Arthrogryposis and related disorders_CE
GL-001341	Hereditary rare cancer predisposition test_FA and WT1
GL-001342	Hypertriglyceridemia_CE-STRAN-2017-1568
GL-001343	Neurodevelopmental disorders, neurometabolic disorders and neurotransmitter disorders_CE
GL-001344	Hereditary breast, ovarian, gynecological and hereditary cancer predisposition test_19genes
GL-001345	Hereditary colorectal and nervous system cancer predisposition test_19genes
GL-001347	Hereditary cancer and nervous system cancer predisposition test
GL-001348	PLA2G6-associated neurodegeneration_CE
GL-001350	Dysostosis_CE
GL-001351	Bardet-Biedl syndrome_CE
GL-001352	Neurometabolic disorders and inborn errors of metabolism_CE
GL-001353	Disorders of neurotransmitters metabolism_CE
GL-001354	Ataxia, mitochondrial disorders and neurodegeneration with brain iron accumulation_CE
GL-001356	SeSAME syndrome_CE
GL-001357	Nephrogenic diabetes insipidus_CE
GL-001358	Neuroaxonal dystrophy_CE
GL-001359	Steroid resistant nephrotic syndrome_CE
GL-001360	GM2-gangliosidosis, neuroaxonal dystrophy and neuronal ceroid lipofuscinosis_CE
GL-001364	Hereditary renal cancer predisposition test_latest
GL-001365	Hereditary breast, ovarian and nervous system cancer predisposition test_19genes
GL-001367	Noonan syndrome and RASopathies_CE
GL-001368	Precocious puberty_CE
GL-001370	Mitochondrial disorders and neurological disorders_CE
GL-001371	Inborn errors of metabolism and neurometabolic disorders_CE
GL-001373	Ellis-van Creveld syndrome_CE
GL-001375	Arthrogryposis and related disorders, and DSD_CE
GL-001376	Hereditary colorectal, endocrine and renal cancer predisposition test
GL-001377	Hereditary colorectal, nervous system cancer and inherited cancer predisposition test
GL-001378	Skeletal disorders_CE
GL-001379	Myopathies_CE
GL-001380	Iron-refractory iron deficiency anemia_CE
GL-001381	Anemia_CE
GL-001382	Desbuquois dysplasia, Stickler syndrome and spondyloepimetaphyseal dysplasia_CE
GL-001383	Obesity_CE
GL-001384	Epileptic encephalopathy_CE_S-2017-1918
GL-001386	Attention deficit hyperactivity disorder, autism spectrum disorders and epilepsy_CE
GL-001388	Epilepsy and encephalopathy_CE
GL-001390	Neurodevelopmental and neurocognitive disorders_CE
GL-001391	Nephronophthisis_CE
GL-001392	Hereditary breast, ovarian, gynecological and nervous system cancer predisposition test_27 genes
GL-001393	Nephronophthisis and polycystic kidney disease_CE
GL-001394	Arthrogryposis and microcephaly_CE
GL-001395	Neurometabolic disorders, inborn errors of metabolism and dermatologic disorders_CE
GL-001396	Thrombocytopenia and lymphadenopathy_CE
GL-001397	Epilepsy, encephalopathy and neurometabolic disorders_CE
GL-001398	Hereditary breast, ovarian and rare cancer predisposition test_HBOC and FA
GL-001401	Encephalopathy_CE
GL-001402	Hereditary breast, ovarian, nervous system and hereditary cancer predisposition test_19HBOC genes
GL-001403	Hereditary colorectal, endocrine and hereditary cancer predisposition test_19HBOC genes
GL-001405	Kabuki syndrome and Rubinstein-Taybi syndrome_CE
GL-001406	Hyper-IgM syndrome_CE
GL-001407	Osteopetrosis and related disorders_CE
GL-001408	Hereditary breast, prostate and endocrine cancer predisposition test_19HBOC genes
GL-001409	Atypical hemolytic uremic syndrome and nephrotic syndrome_CE
GL-001411	Hyperpigmentation disorders, microcephaly and neurocognitive disorders_CE
GL-001412	Attention deficit hyperactivity disorder and autism spectrum disorders_CE
GL-001413	Autism spectrum disorders and microcephaly_CE
GL-001414	Cutis laxa and Ehlers-Danlos syndrome_CE
GL-001415	Hereditary breast, prostate, endocrine and nervous system cancer predisposition test_19genes
GL-001416	Andersen syndrome and Leigh syndrome_CE
GL-001417	Precocious puberty and obesity_CE
GL-001418	Andersen-Tawil syndrome and Leigh syndrome_CE
GL-001421	Epilepsy and neurocognitive disorders_CE
GL-001422	Amyotrophic lateral sclerosis and epilepsy_CE
GL-001423	Thiamine-responsive megaloblastic anemia syndrome_CE
GL-001424	Disorders of vitamins and cofactor metabolism_CE
GL-001425	Opthalmic migraine_CE
GL-001427	3-Methylcrotonyl-CoA carboxylase deficiency and very long-chain acyl-CoA dehydrogenase deficiency_CE
GL-001428	Brain malformations and hypomyelinating disorders_CE
GL-001429	Alagille Syndrome_CE
GL-001430	Autism spectrum disorders and epilepsy _CE
GL-001431	Mucopolysaccharidosis type III A/B_CE
GL-001432	Waardenburg syndrome_CE
GL-001433	Autism spectrum disorders, epilepsy and intellectual disability_CE
GL-001434	Focal dermal hypoplasia_CE
GL-001436	Mucopolysaccharidosis type IV_CE
GL-001437	Hereditary nervous system cancer and cancer syndrome predisposition test_35 genes
GL-001438	Acromelic and acromesomelic dysplasia_CE
GL-001439	Leukodystrophies and macrocephaly_CE
GL-001440	Hereditary breast, ovarian, gynecological, colorectal and hereditary cancer predisposition test_19 HBOC genes
GL-001441	Hereditary colorectal and renal cancer predisposition test
GL-001442	Brain malformations and epilepsy_CE
GL-001443	Hydrops fetalis_CE
GL-001444	Megalencephalic leukoencephalopathy with subcortical cysts_CE
GL-001445	Homocystinuria _CE
GL-001446	Citrullinemia_CE
GL-001447	CYP21A2-related adrenal hyperplasia_CE
GL-001448	3-Methylcrotonyl-CoA carboxylase deficiency and fatty acid oxidation defects_CE
GL-001449	Maturity-onset diabetes of the young and neonatal diabetes mellitus_CE
GL-001450	Alternating hemiplegia of childhood_CE
GL-001451	Storage disorders and hepatosplenomegaly_CE
GL-001453	Inborn errors of metabolism, mitochondrial disorders and neurological disorders_CE
GL-001454	Craniosynostosis and Loeys-Dietz syndrome_CE
GL-001455	Ataxia, POLG-spectrum disorders and neurodegeneration with brain iron accumulation_CE
GL-001456	ABCD1-related adrenoleukodystrophy_CE
GL-001459	Neurocognitive and neuromuscular disorders_CE
GL-001460	X-linked adrenoleukodystrophy_CE
GL-001461	Neurocognitive disorders and epilepsy_CE
GL-001462	CAP-2017-clinical exome
GL-001463	CAP-Proficiency testing-Clinical Exome-2017
GL-001464	Congenital heart defects, microcephaly, microphthalmia and skeletal disorders_CE
GL-001465	Hereditary breast and ovarian cancer predisposition and neurofibromatosis test_19 genes
GL-001466	Alexander disease and leukodystrophies_CE
GL-001467	Fatty acid oxidation defects and glycogen storage diseases_CE
GL-001468	Attention deficit hyperactivity disorder, intellectual disability and microcephaly_CE
GL-001470	Raine syndrome_CE
GL-001471	Renal tubular acidosis_CE
GL-001472	Perrault syndrome_CE
GL-001473	Congenital heart defects and epileptic encephalopathy_CE
GL-001474	Neurocognitive disorders and microcephaly_CE
GL-001476	Hereditary spastic paraplegia, leukodystrophy and mitochondrial disorders_CE
GL-001477	Lesch-Nyhan syndrome_CE
GL-001479	TOR1A-related dystonia_CE
GL-001481	Disorders of cornification_CE
GL-001482	Epilepsy_CE
GL-001483	Cerebellar ataxia_CE
GL-001485	Epilepsy_CE-STRAN-2017-1255
GL-001486	Epilepsy and mitochondrial disorders_CE-STRAN-2017-1255
GL-001487	Autism specturm disorders, ataxia, epilepsy and inborn errors of metabolism_CE
GL-001488	Dermatologic disorders, hirschsprung disease and neurological disorders_CE
GL-001489	Alexander disease, epilepsy and hereditary spastic paraplegia_CE
GL-001491	Diamond-Blackfan syndrome, Thiamine-responsive megaloblastic anemia syndrome and Wolfram syndrome_CE
GL-001492	Autoinflammatory disorders and mevalonate kinase deficiency_CE
GL-001493	Autism spectrum disorders, ataxia, epilepsy and inborn errors of metabolism_CE
GL-001494	Lujan-Fryns syndrome_CE
GL-001495	Neurodevelopmental and neuromuscular disorders_CE
GL-001496	Neurodevelopmental disorders_CE
GL-001497	Skeletal disorders and intellectual disability_CE
GL-001498	Hereditary colorectal and renal cancer predisposition test_19genes
GL-001500	GPC3 related-Simpson-Golabi-Behmel syndrome_CE
GL-001501	Mitochondrial respiratory chain disorders_CE
GL-001503	Hereditary breast, ovarian and gastrointestinal cancer predisposition test_19 genes
GL-001504	Neurometabolic disorders_CE
GL-001505	Hereditary gynecological and nervous system cancer predisposition test_STK11
GL-001506	Encephalopathy and hepatomegaly_CE
GL-001507	Cataract, intellectual disability, microcephaly and pigmentation disorders_CE
GL-001508	Hereditary gynecological and nervous system cancer predisposition test
GL-001509	lycogen storage disorders, fatty acid oxidation defects and glutaric acidemia_CE
GL-001510	Glycogen storage disorders, fatty acid oxidation defects and glutaric acidemia_CE
GL-001512	Hereditary nervous system and cancer predisposition test
GL-001513	Glycogen storage disease, glutaric acidemia and fatty acid oxidation defects_CE
GL-001514	Neuronal ceroid lipofuscinosis and Leber congenital amaurosis_CE
