GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-000657	ACMG genes-56_CE 56	ACTA2 ACTC1 APC APOB ATP7B BMPR1A BRCA1 BRCA2 CACNA1S COL3A1 DSC2 DSG2 DSP FBN1 GLA KCNH2 KCNQ1 LDLR LMNA MEN1 MLH1 MSH2 MSH6 MUTYH MYBPC3 MYH11 MYH7 MYL2 MYL3 NF2 OTC PCSK9 PKP2 PMS2 PRKAG2 PTEN RB1 RET RYR1 RYR2 SCN5A SDHAF2 SDHB SDHC SMAD3 STK11 TGFBR1 TGFBR2 TMEM43 TNNI3 TNNT2 TP53 TPM1 TSC1 TSC2 VHL
GL-000659	Osteogenesis imperfecta_CE 14	ANO5 BMP1 COL1A1 COL1A2 CRTAP FKBP10 IFITM5 LEPRE1 LRP5 PLOD2 PPIB SERPINF1 SERPINH1 SP7
GL-000661	Sudden cardiac death_CE 76	ACADVL ACE ACTN2 ADCYAP1 ADRA2B AKAP10 AKAP9 ANK2 ANXA5 BAG3 CACNA1C CACNA2D1 CACNB2 CALR3 CASQ2 CAV3 CITED2 CSRP3 CTLA4 DES DNAJC19 DPP6 DSC2 DSG2 DSP DTNA GJA1 GP1BA GPD1L GYS1 JUP KCND3 KCNE1 KCNE2 KCNE3 KCNH2 KCNJ11 KCNJ2 KCNJ5 KCNJ8 KCNQ1 LDB3 LIPC LMNA LRP6 MYBPC3 MYH6 MYH7 MYL2 MYLK2 NEBL NEXN NKX2 NOS1AP PKP2 PLN PRKAG2 RBM20 ROCK1 ROCK2 RYR2 SCN1B SCN3B SCN4B SCN5A TBX3 TCAP TGFB3 TMEM43 TNNC1 TNNI3 TNNT2 TPM1 TRDN TRPM4 TTN
GL-000662	Osteogenesis imperfecta and neuropathies_CE 118	AAAS AARS ABCD1 ABHD12 AFG3L2 AIFM1 ANO5 AP1S1 APOA1 ARHGEF10 ATL1 ATP7A BMP1 BSCL2 C10ORF2 CCT5 CD59 COL1A1 COL1A2 CRTAP CTDP1 DCTN1 DFNB59 DHH DIAPH3 DNAJB2 DNM2 DNMT1 DST DYNC1H1 EGR2 FAM134B FBLN5 FGD4 FIG4 FKBP10 GAN GARS GDAP1 GJB1 GJB3 GLA GSN HADHB HARS HK1 HOXD10 HSPB1 HSPB3 HSPB8 HSPG2 IFITM5 IFRD1 IGHMBP2 IKBKAP INF2 KARS KIF1A KIF1B KIF5A LEPRE1 LITAF LMNA LRP5 LRSAM1 MCM3AP MED25 MFN2 MPZ MTMR2 MYH14 NDRG1 NEFL NGF NTRK1 OPA1 OTOF PHYH PLEKHG5 PLOD2 PMP22 PNPLA6 POLG PPIB PRF1 PRPS1 PRX RAB7A REEP1 RPIA SACS SBF2 SCN10A SCN9A SCP2 SEPT9 SERPINF1 SERPINH1 SETX SH3TC2 SLC12A6 SLC25A19 SLC5A7 SNAP29 SOX10 SP7 SPTLC1 SPTLC2 SYT2 TDP1 TRPV4 TSFM TTR TYMP VCP VRK1 WNK1 YARS
GL-000664	Hereditary breast, ovarian and cancer syndrome predisposition test_old 30	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 MEN1 MLH1 MSH2 MSH6 NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RET SDHB SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000665	Disorders of fatty acid and energy metabolism_CE 31	ACACA ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT2 ACOX1 CPT1A CPT1B CPT2 ETFA ETFB ETFDH GCDH HADH HADHA HADHB HMGCL HMGCS2 HSD17B10 HSD17B4 LPIN1 MLYCD OXCT1 PPARG SLC22A5 SLC25A20 TAZ
GL-000666	Mitochondrial myopathy_CE 60	AARS2 AGK AIFM1 BCS1L C10ORF2 C12ORF65 COA5 COQ2 COX10 COX6B1 CPT2 DGUOK EARS2 ELAC2 FARS2 FASTKD2 FOXRED1 GFER ISCU MARS2 MRPS22 MTO1 NARS2 NDUFA1 NDUFA11 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFV1 NDUFV2 NFU1 NUBPL OPA1 POLG PUS1 RRM2B SCO1 SDHA SLC25A4 SUCLA2 SUCLG1 TACO1 TAZ TK2 TSFM TTC19 TUFM TXN2 TYMP UQCRB UQCRQ YARS2
GL-000667	Joubert syndrome and mitochondrial disorders_CE 183	AARS2 ABCB7 ACACA ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT1 ACAT2 ADCK3 AFG3L2 AGK AHI1 AIFM1 APTX ARL13B ATP5E ATPAF2 B9D1 BCS1L BOLA3 BTD C10ORF2 C12ORF65 C19ORF12 CC2D2A CEP290 CEP41 CISD2 COA5 COQ2 COQ4 COQ6 COQ9 COX10 COX15 COX6B1 CPS1 CPT1A CPT1B CPT2 DARS2 DGUOK DIABLO DLD DNAJC19 DNM1L EARS2 ELAC2 ETFA ETFB ETFDH ETHE1 FARS2 FASTKD2 FH FOXRED1 FXN GATM GCDH GFER GFM1 HADH HADHA HADHB HARS2 HCCS HMGCL HMGCS2 HOGA1 HSD17B10 HSD17B4 HSPD1 IDH2 INPP5E ISCU KIF7 LARS2 LPIN1 LRPPRC MARS2 MFN2 MKS1 MLYCD MPV17 MRPL3 MRPS16 MRPS22 MTFMT MTO1 MTPAP NARS2 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA13 NDUFA2 NDUFA4 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NFU1 NPHP1 NUBPL OFD1 OPA1 OPA3 OXCT1 PCK2 PDHA1 PDHB PDHX PDSS1 PDSS2 POLG POLG2 PPARG PUS1 RARS2 RPGRIP1L RRM2B SARS2 SCO1 SCO2 SDHA SDHAF2 SDHB SDHC SLC19A3 SLC22A5 SLC25A12 SLC25A13 SLC25A15 SLC25A20 SLC25A22 SLC25A3 SLC25A38 SLC25A4 SPG7 SUCLA2 SUCLG1 SURF1 TACO1 TAZ TCTN1 TCTN2 TFB1M TIMM8A TK2 TMEM138 TMEM216 TMEM237 TMEM67 TMEM70 TRMU TSFM TTC19 TTC21B TUFM TXN2 TYMP UQCRB UQCRQ XPNPEP3 YARS2
GL-000668	Sotos syndrome, congenital myopathy, fragile X syndrome, Marfan syndrome and related disorders_CE 88	ACTA1 ACTA2 ADAMTS2 ANO5 ATP2A1 ATP7A B4GALT7 BAG3 BIN1 CAV3 CBS CFL2 CHKB CHST14 CNTN1 COL11A1 COL11A2 COL12A1 COL1A1 COL1A2 COL2A1 COL3A1 COL5A1 COL5A2 COL6A1 COL6A2 COL6A3 COL9A1 COL9A2 CRYAB DES DNM2 DYSF FBN1 FBN2 FHL1 FKBP14 FLNC FMR1 GBE1 GFER GNE HRAS ISCU ITGA7 KBTBD13 KLHL9 LAMP2 LDB3 LMNA MATR3 MEGF10 MTM1 MTMR14 MYF6 MYH11 MYH14 MYH2 MYH7 MYLK MYOT NEB NFIX NSD1 OPA1 ORAI1 PABPN1 PLOD1 PNPLA2 PUS1 RYR1 SEPN1 SIL1 SKI SMAD3 STIM1 TAZ TGFB2 TGFB3 TGFBR1 TGFBR2 TNNT1 TNXB TPM2 TPM3 TTN VCP YARS2
GL-000669	Periodic paralysis_CE 4	CACNA1S KCNJ18 KCNJ2 SCN4A
GL-000670	Hereditary colorectal and endocrine cancer predisposition test 28	AIP APC ATM BMPR1A BRCA1 BRCA2 CDC73 CDH1 CDKN2A CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH PALB2 PMS2 PTEN RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 VHL
GL-000671	Hereditary colorectal, endocrine and nervous system cancer predisposition test 33	AIP ALK APC ATM BMPR1A BRCA1 BRCA2 CDC73 CDH1 CDKN2A CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH NF2 PALB2 PMS2 PTEN RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 SUFU TP53 TSC1 TSC2 VHL
GL-000672	Skeletal disorders and overgrowth syndromes_CE 393	ACP5 ACTB ACVR1 ADAMTS10 ADAMTS17 ADAMTSL2 ADCY6 AGA AGPS AIP AIRE AKT1 AKT3 ALG9 ALPL ALX1 ALX4 AMER1 ANKH ANKRD11 ANO5 ANTXR2 ARHGAP31 ARID1A ARID1B ARL6 ARSB ARSE ATP6V0A2 ATP7A B3GAT3 B4GALT7 B9D1 B9D2 BANF1 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BBS9 BMP1 BMP2 BMPER BMPR1B CA2 CALCR CASR CC2D2A CCDC8 CDC6 CDC73 CDH3 CDT1 CEP290 CEP41 CHRNA1 CHRNB1 CHRND CHRNG CHST14 CHST3 CHSY1 CLCN5 CLCN7 COG1 COL10A1 COL11A1 COL11A2 COL1A1 COL1A2 COL2A1 COL3A1 COL9A1 COL9A2 COL9A3 COLEC11 COMP CREBBP CRTAP CTSA CTSC CTSK CUL7 CYP26B1 CYP27B1 CYP2R1 DDR2 DDX58 DHCR24 DHODH DIS3L2 DLL3 DLX3 DLX5 DMP1 DNM2 DNMT3A DOCK6 DOK7 DYM DYNC2H1 EBP EDNRA EFNB1 EFTUD2 EIF2AK3 EMG1 ENPP1 EP300 ERBB3 ESCO2 EVC EVC2 EXT1 EXT2 EZH2 FAM20C FBLN1 FBN1 FBN2 FBXW4 FGF10 FGF23 FGF9 FGFR1 FGFR2 FGFR3 FIG4 FKBP10 FLNA FLNB FMR1 FREM1 FUCA1 GALNS GALNT3 GDF3 GDF5 GJA1 GLB1 GLE1 GLI3 GNAS GNPAT GNPTAB GNPTG GNS GORAB GPC3 GPC4 GPC6 GPX4 GREM1 GUSB HDAC4 HDAC8 HES7 HGSNAT HOXA11 HPGD HRAS HSPA9 HSPG2 HYAL1 ICK IDH1 IDH2 IDS IDUA IFIH1 IFITM5 IFT122 IFT140 IFT43 IFT80 IGF2 IHH IKBKG IL11RA IL1RN IMPAD1 INPP5E IRX5 KAT6B KCNQ1 KIF22 KIF7 KL LBR LEPRE1 LIFR LMBR1 LMNA LMX1B LPIN2 LRP4 LRP5 LTBP2 LZTFL1 MAFB MAN2B1 MANBA MEN1 MESP2 MGP MKKS MKS1 MMP13 MMP14 MMP2 MMP9 MSX2 MTAP MUSK MYBPC1 MYH3 MYH8 NAGLU NEK1 NEU1 NF1 NF2 NFIX NIPBL NKX3 NLRP3 NOG NOTCH1 NOTCH2 NPHP3 NPPC NPR2 NSD1 NSDHL NT5E OBSL1 OFD1 ORC1 ORC4 ORC6 OSTM1 PAPSS2 PAX3 PCNT PDE4D PEX1 PEX10 PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHEX PIEZO2 PIGV PIK3CA PIK3R2 PIP5K1C PLEKHM1 PLOD2 PLOD3 POLR1C POLR1D POP1 POR PORCN PPIB PRKAR1A PSMB8 PTCH1 PTCH2 PTEN PTH PTH1R PTHLH PTPN11 PYCR1 RAB23 RAD21 RAPSN RASA1 RBM8A RECQL4 RIPK4 RNF135 ROR2 RPGRIP1L RPS26 RUNX2 RYR1 SALL1 SBDS SDCCAG8 SEC23A SERPINF1 SERPINH1 SETBP1 SETD2 SF3B4 SGSH SH3PXD2B SHOX SHOX SKI SLC17A5 SLC26A2 SLC26A4 SLC34A1 SLC34A3 SLC35D1 SLC39A13 SLC9A3R1 SLCO2A1 SMAD3 SMARCA4 SMARCAL1 SMARCB1 SMARCE1 SMC1A SMC3 SMOC1 SNX10 SOST SOX9 SP7 SQSTM1 SUFU SUMF1 TBC1D24 TBCE TBL1XR1 TBX15 TBX3 TBX4 TBX5 TBX6 TBXAS1 TCIRG1 TCOF1 TCTN1 TCTN2 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TMCO1 TMEM138 TMEM216 TMEM237 TMEM67 TNFRSF11A TNFRSF11B TNFSF11 TNNI2 TNNT3 TP63 TPM2 TRAPPC2 TRIM32 TRIP11 TRPS1 TRPV4 TTC21B TTC8 TYROBP UBA1 VDR VIPAS39 VPS33B WDPCP WDR19 WDR35 WISP3 WNK1 WNT10B WNT3 WNT5A WNT7A XYLT1 XYLT2 ZIC1 ZIC3 ZMPSTE24
GL-000673	Hereditary breast and ovarian cancer and hereditary cancer predisposition test 35	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RB1 RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000674	21-hydroxylase deficiency_RD 1	CYP21A2
GL-000675	Rabson-Mendenhall syndrome_RD 1	INSR
GL-000676	Spinal muscular atrophy_CE_STRAN-000005331 18	ASAH1 ASCC1 ATP7A BSCL2 DNAJB2 DYNC1H1 GARS HSPB8 IGHMBP2 PLEKHG5 REEP1 SIGMAR1 SLC5A7 SMN1 TRPV4 UBA1 VAPB VRK1
GL-000678	Niemann-Pick disease and pyridoxine dependent epilepsy_CE 4	ALDH7A1 NPC1 NPC2 SMPD1
GL-000679	Hereditary gynecological and hereditary cancer predisposition test 33	APC ATM BMPR1A BRCA1 BRCA2 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RB1 RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000680	Hereditary breast and ovarian, colorectal, renal, nervous system cancer and other hereditary cancer predisposition test 40	ALK APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM FH FLCN MEN1 MET MLH1 MSH2 MSH6 MUTYH NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RB1 RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 SUFU TP53 TSC1 TSC2 VHL WT1
GL-000684	All cardio-v3_CE 180	ABCA1 ABCB1 ABCC6 ABCC9 ABCG5 ABCG8 ACE ACTC1 ACTN2 ADCYAP1 ADD1 ADH1B ADIPOQ ADRA2B AGT AGTR1 AGTR2 AKAP9 ANK2 ANK3 ANKRD1 ANXA5 APOA1 APOA2 APOA5 APOB APOC3 APOE BAG3 BMP10 CACNA1C CACNA1D CACNA2D1 CACNB2 CALM1 CALR3 CASQ2 CAV3 CCL2 CHRM2 COG6 COX15 CRYAB CSRP3 CTLA4 CYBA CYP2C19 CYP2C9 CYP3A5 CYP7A1 DES DMD DNAJC19 DPP6 DSC2 DSG2 DSP DTNA EMD EPHX2 EYA4 F13A1 F2 F5 F7 F9 FGB FKTN FLNC FLT1 FOXD4 FXN GHR GJA1 GJA5 GLA GP1BA GPD1L IL1RN IL6 ILK ITGB3 JUP KCNA5 KCND3 KCNE1 KCNE2 KCNE3 KCNH2 KCNJ11 KCNJ2 KCNJ5 KCNJ8 KCNQ1 LAMA2 LAMA4 LAMP2 LDB3 LDLR LDLRAP1 LIPC LMNA LPL LRP1 LRP8 MEF2A MPO MTHFR MTRR MURC MYBPC3 MYH6 MYH7 MYL2 MYL3 MYLK2 MYO6 MYOM1 MYOZ2 MYPN NDUFAF1 NEBL NEXN NKX2 NOS1AP NOS3 NPPA NUP155 OBSCN P2RY12 PCSK9 PDLIM3 PKP2 PLN PON1 PPARA PRKAG2 PSEN1 PSEN2 RAF1 RANGRF RBM20 ROCK1 ROCK2 RYR2 SCN2B SCN3B SCN4B SCN5A SDHA SELE SELP SGCD SLC25A4 SREBF2 SRI SYNE1 TAZ TBX3 TCAP TCF21 TGFB3 THBS1 THBS2 THBS4 THPO TMEM43 TMPO TNNC1 TNNI3 TNNT2 TPM1 TRDN TRPM4 TTN TTR TXNRD2 VCL VKORC1 VPS13A
GL-000689	Brugada syndrome and long QT syndrome_CE 27	AKAP9 ANK2 CACNA1C CACNA2D1 CACNB2 CALM1 CALM3 CAV3 GPD1L KCND3 KCNE1 KCNE2 KCNE3 KCNH2 KCNJ2 KCNJ5 KCNJ8 KCNQ1 RANGRF RYR2 SCN1B SCN2B SCN3B SCN4B SCN5A TRDN TRPM4
GL-000694	Susceptibility to acute infection-induced encephalopathy_CE 6	CPT2 RANBP2 TICAM1 TLR3 TRAF3 UNC93B1
GL-000695	Retinitis pigmentosa and cone dystrophy_CE 114	ABCA4 ABHD12 AIPL1 ARL6 ATF6 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BEST1 C2ORF71 C8ORF37 CA4 CACNA1F CACNA2D4 CC2D2A CCDC28B CDH23 CDHR1 CEP290 CERKL CIB2 CLN3 CLRN1 CNGA1 CNGA3 CNGB1 CNGB3 CNNM4 COQ2 CRB1 CRX CTSD DFNB31 DHDDS EYS FAM161A FLVCR1 FSCN2 GNAT2 GPR98 GUCA1A GUCA1B GUCY2D HGSNAT IDH3B IFT140 IMPDH1 IMPG2 IQCB1 KCNV2 KLHL7 LRAT MAK MERTK MFRP MFSD8 MKKS MKS1 MYO7A NBAS NPHP4 NR2E3 NRL OFD1 OPN1LW OPN1MW OPN1SW PANK2 PCDH15 PDE6A PDE6B PDE6C PDE6G PDE6H PDZD7 PEX12 PEX2 PMM2 POMGNT1 PRCD PRKCG PROM1 PRPF3 PRPF31 PRPF6 PRPF8 PRPH2 PRPS1 RBP3 RDH12 RGR RHO RLBP1 ROM1 RP1 RP2 RP9 RPE65 RPGRIP1 SAG SEMA4A SNRNP200 SPATA7 TOPORS TRAF3IP1 TTC8 TULP1 USH1C USH2A ZNF513
GL-000696	Epileptic encephalopathy and dystonia_CE 105	AARS ACTB ADCY5 AFG3L2 AMT AP3B2 ARFGEF2 ARSA ATM ATP13A2 ATP1A3 ATP7B AUH BCAP31 BCS1L C19ORF12 CBL CDKL5 CHD2 COL6A3 COX10 COX15 CP DCAF17 DNM1 DRD2 DRD5 EIF2B5 FA2H FARS2 FASN FBXO7 FOXRED1 FTL GABRA1 GABRB3 GCDH GCH1 GLDC GRIN2B HCN1 ITPA KCNQ2 MECP2 MTFMT MTHFR NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NPC1 NPC2 PANK2 PARK2 PCDH19 PDGFB PDHX PIGA PIGV PINK1 PLA2G6 PLCB1 PNKD PNKP PRKRA PRRT2 RYR3 SCN2A SCN8A SCP2 SDHA SERPINI1 SGCE SLC1A2 SLC20A2 SLC25A12 SLC25A22 SLC2A1 SLC30A10 SLC6A3 SPR SPTAN1 SQSTM1 ST3GAL3 STXBP1 SUCLA2 SURF1 SYNGAP1 TH THAP1 TIMM8A TOR1A TTC19 USP9X VPS13A WDR45 WWOX XK
GL-000701	Holoprosencephaly and hypothyroidism_CE 99	ACP5 AIRE ALMS1 AMER1 APOE BCOR BMP4 C10ORF2 CACNA1C CBS CCBE1 CDKN1B CDON CEP57 CHD7 CLCN1 CTNS DCAF17 DISP1 DLL1 DUOX2 DUOXA2 EIF2AK3 ELP4 FANCA FGF8 FGFR1 FMR1 GATA1 GATA2 GFAP GLA GLI2 GLIS3 GNAS GPC3 HSD17B3 IFNG IL2RA ITCH IYD KAT6B KISS1R KMT2D LEP LHX4 LRP4 MECP2 MMP2 NKX2 NKX2 NODAL NOTCH2 NPR2 NSD1 OTX2 PAX6 PAX8 PCSK1 PDE4D PHF6 PLA2G6 PMM2 PNPLA6 POMC POU1F1 PRKAR1A PROP1 PRRX1 PTCH1 PTEN RBM28 SALL1 SEMA3E SETBP1 SIX3 SLC16A2 SLC26A4 SLC5A5 SMARCAL1 SOX2 STAT1 STAT3 TAS2R38 TDGF1 TG THRA TMCO1 TPO TRHR TSC1 TSC2 TSHB TSHR UBR1 VPS13B WFS1 XRCC4 ZAP70
GL-000703	Complex dystonia_CE 39	ARSA ATP7B AUH BCS1L C19ORF12 COX10 COX15 CP DCAF17 FA2H FOXRED1 FTL GCDH MECP2 MTFMT NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NPC1 NPC2 PANK2 PARK2 PDGFB PDHX PLA2G6 SDHA SUCLA2 SURF1 VPS13A WDR45 XK
GL-000705	Cardiac arrhythmias and related disorders_CE 59	ABCC9 ACTC1 AKAP9 ANK2 ANK3 CACNA1C CACNA1D CACNA2D1 CACNB2 CALM1 CALM3 CASQ2 CAV3 DES DSC2 DSG2 DSP EMD GJA5 GLA GPD1L JUP KCNA5 KCND3 KCNE1 KCNE2 KCNE3 KCNH2 KCNJ2 KCNJ5 KCNJ8 KCNQ1 LAMP2 LMNA MYBPC3 MYH6 MYH7 MYL2 MYL3 NKX2 NPPA NUP155 PKP2 PRKAG2 RANGRF RYR2 SCN1B SCN2B SCN3B SCN4B SCN5A TMEM43 TNNC1 TNNI3 TNNT2 TPM1 TRDN TRPM4 TTR
GL-000706	Hyperparathyroidism-jaw tumor syndrome predisposition test 1	CDC73
GL-000707	Epilepsy and susceptibility to acute infection-induced encephalopathy_CE 169	AARS ABCC8 ADRA2B ADSL AFG3L2 AGTR2 AKT3 ALDH7A1 ALG13 AMT AP3B2 ARFGEF2 ASAH1 ASNS ATP13A2 ATP1A2 ATP1A3 ATP6AP2 BRAT1 CACNA1A CACNA1G CACNA1H CACNB4 CASR CBL CDKL5 CHD2 CHRNA7 CHRNB2 CLCN2 CLN3 CLN5 CLN6 CLN8 CNTNAP2 COL4A1 COL6A2 CPA6 CPT2 CRH CSTB CTSD DCX DNAJC5 DNM1 DRD2 DYNC1H1 DYRK1A EFHC1 EIF2B5 FARS2 FASN FIG4 FLNA FOLR1 GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GATM GLDC GOSR2 GPHN GRIK2 GRIN1 GRIN2A GRIN2B GRN HCN1 HNRNPU HSD17B10 IER3IP1 IQSEC2 ITPA JRK KANSL1 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNMA1 KCNQ2 KCNQ3 KCTD7 KIAA2022 LGI1 LIAS LMNB2 MAGI2 MBD5 MECP2 MEF2C MFSD8 MOCS1 MTHFR NEB NEDD4L NEU1 NHLRC1 NID1 NR2F1 NRXN1 OPA1 PCDH19 PCDHB4 PHF6 PIGA PIGN PIGO PIGV PLCB1 PNKP PNPO POLG PPP1R3C PPT1 PRICKLE1 PRICKLE2 PRRT2 PSEN1 PTEN RANBP2 RBFOX1 RELN ROGDI RYR3 SACS SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SERPINI1 SLC1A2 SLC25A12 SLC25A22 SLC2A1 SLC6A1 SLC9A6 SMC1A SNIP1 SPTAN1 SRPX2 ST3GAL3 ST3GAL5 STXBP1 SYNGAP1 TBC1D24 TBL1XR1 TCF4 TICAM1 TK2 TLR3 TPP1 TRAF3 TSC1 UBE3A UNC93B1 USP9X WDR62 WWOX ZEB2
GL-000710	Hereditary colorectal, endocrine, renal cancer and von Hippel-Lindau syndrome predisposition test 34	AIP APC ATM BMPR1A BRCA1 BRCA2 CDC73 CDH1 CDKN2A CHEK2 EPCAM FH FLCN MEN1 MET MLH1 MSH2 MSH6 MUTYH PALB2 PMS2 PTEN RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000712	Megalencephalic leukoencephalopathy with subcortical cysts, Canavan disease and Alexander disease_CE 4	ASPA GFAP HEPACAM MLC1
GL-000713	Van der Knaap disease, Canavan disease and Alexander disease_CE 4	ASPA GFAP HEPACAM MLC1
GL-000714	Pantothenate kinase-associated neurodegeneration_RD 1	PANK2
GL-000720	Epilepsy, hydrocephalus and susceptibility to acute infection-induced encephalopathy_CE 178	AARS ABCC8 ADRA2B ADSL AFG3L2 AGTR2 AKT3 ALDH7A1 ALG13 AMT AP3B2 ARFGEF2 ASAH1 ASNS ATP13A2 ATP1A2 ATP1A3 ATP6AP2 BRAT1 CACNA1A CACNA1G CACNA1H CACNB4 CASR CBL CCDC88C CDKL5 CHD2 CHRNA7 CHRNB2 CLCN2 CLN3 CLN5 CLN6 CLN8 CNTNAP2 COL4A1 COL6A2 CPA6 CPT2 CRH CSTB CTSD DCX DNAJC5 DNM1 DRD2 DYNC1H1 DYRK1A EFHC1 EIF2B5 FARS2 FASN FIG4 FLNA FLVCR2 FOLR1 GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GATM GLDC GOSR2 GPHN GRIK2 GRIN1 GRIN2A GRIN2B GRN HCN1 HNRNPU HSD17B10 HYLS1 IER3IP1 IQSEC2 ITPA JRK KANSL1 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNMA1 KCNQ2 KCNQ3 KCTD7 KIAA2022 KIF7 L1CAM LGI1 LIAS LMNB2 MAGI2 MBD5 MECP2 MEF2C MFSD8 MOCS1 MPDZ MTHFR NEB NEDD4L NEU1 NHLRC1 NID1 NR2F1 NRXN1 OPA1 PCDH19 PCDHB4 PHF6 PIGA PIGN PIGO PIGV PIK3R2 PLCB1 PNKP PNPO POLG POMT1 PPP1R3C PPT1 PRICKLE1 PRICKLE2 PRRT2 PSEN1 PTEN RANBP2 RBFOX1 RELN ROGDI RYR3 SACS SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SERPINI1 SLC1A2 SLC25A12 SLC25A22 SLC2A1 SLC6A1 SLC9A6 SMC1A SNIP1 SPTAN1 SRPX2 ST3GAL3 ST3GAL5 STXBP1 SYNGAP1 TBC1D24 TBL1XR1 TCF4 TICAM1 TK2 TLR3 TPP1 TRAF3 TSC1 UBE3A UNC93B1 USP9X WDR62 WWOX ZEB2 ZIC3
